{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.1666 1.0428 1.2904
-3.139 -2.964 3 1.3367 1.2375 1.4359
-2.964 -2.853 3 1.6764 1.5038 1.8489
-2.853 -2.650 3 2.1405 1.9595 2.3216
-2.650 -2.500 3 1.5722 1.4289 1.7154
-2.500 -2.322 3 1.3365 1.1538 1.5191
-2.322 -2.043 3 1.3481 1.2023 1.4940
-2.043 -1.930 3 1.2374 1.1578 1.3171
-1.930 -1.740 3 1.2345 1.1776 1.2914
-1.740 -1.305 3 1.2450 1.1602 1.3297
-1.305 -1.131 3 1.2237 1.1830 1.2643
-1.131 -0.783 3 1.2532 1.1467 1.3597
-0.783 -0.522 3 1.2603 1.1869 1.3338
-0.522 -0.000 3 1.2758 1.1999 1.3517
0.000 0.522 3 1.2758 1.1999 1.3517
0.522 0.783 3 1.2603 1.1869 1.3338
0.783 1.131 3 1.2532 1.1467 1.3597
1.131 1.305 3 1.2237 1.1830 1.2643
1.305 1.740 3 1.2450 1.1602 1.3297
1.740 1.930 3 1.2345 1.1776 1.2914
1.930 2.043 3 1.2374 1.1578 1.3171
2.043 2.322 3 1.3481 1.2023 1.4940
2.322 2.500 3 1.3365 1.1538 1.5191
2.500 2.650 3 1.5722 1.4289 1.7154
2.650 2.853 3 2.1405 1.9595 2.3216
2.853 2.964 3 1.6764 1.5038 1.8489
2.964 3.139 3 1.3367 1.2375 1.4359
3.139 5.191 3 1.1666 1.0428 1.2904
