{ 2 JetEta JetPt 0 None ScaleFactor }
-5.191 -3.139 0 7000 3 1.0986 0.9834 1.2137
-3.139 -2.964 0 7000 3 1.2764 1.2158 1.3370
-2.964 -2.853 0 7000 3 1.7414 1.5118 1.9709
-2.853 -2.65 0 10 3 1.03394 1 1.23394
-2.853 -2.65 10 20 3 1.04501 1 1.24501
-2.853 -2.65 20 30 3 1.06641 1 1.26641
-2.853 -2.65 30 40 3 1.09679 1 1.29679
-2.853 -2.65 40 50 3 1.13444 1 1.33444
-2.853 -2.65 50 60 3 1.17752 1 1.37752
-2.853 -2.65 60 70 3 1.22425 1.02425 1.42425
-2.853 -2.65 70 80 3 1.27305 1.07305 1.47305
-2.853 -2.65 80 90 3 1.3226 1.1226 1.5226
-2.853 -2.65 90 100 3 1.37183 1.17183 1.57183
-2.853 -2.65 100 110 3 1.41995 1.21995 1.61995
-2.853 -2.65 110 135 3 1.49766 1.29766 1.69766
-2.853 -2.65 135 160 3 1.59998 1.39998 1.79998
-2.853 -2.65 160 185 3 1.68698 1.48698 1.88698
-2.853 -2.65 185 210 3 1.75961 1.55961 1.95961
-2.853 -2.65 210 235 3 1.81975 1.61975 2.01975
-2.853 -2.65 235 260 3 1.86945 1.66945 2.06945
-2.853 -2.65 260 285 3 1.91061 1.71061 2.11061
-2.853 -2.65 285 310 3 1.94483 1.74483 2.14483
-2.853 -2.65 310 335 3 1.97343 1.77343 2.17343
-2.853 -2.65 335 360 3 1.99749 1.79749 2.19749
-2.853 -2.65 360 385 3 2.01784 1.81784 2.21784
-2.853 -2.65 385 410 3 2.03518 1.83518 2.23518
-2.853 -2.65 410 435 3 2.05003 1.85003 2.25003
-2.853 -2.65 435 460 3 2.06284 1.86284 2.26284
-2.853 -2.65 460 485 3 2.07394 1.87394 2.27394
-2.853 -2.65 485 7000 3 2.18079 1.98079 2.38079
-2.650 -2.500 0 7000 3 1.4596 1.3193 1.6000
-2.500 -2.322 0 7000 3 1.1850 1.1449 1.2251
-2.322 -2.043 0 7000 3 1.1889 1.0548 1.3231
-2.043 -1.930 0 7000 3 1.1194 1.0702 1.1685
-1.930 -1.740 0 7000 3 1.0957 1.0377 1.1536
-1.740 -1.305 0 7000 3 1.1276 1.0888 1.1665
-1.305 -1.131 0 7000 3 1.1287 1.0766 1.1807
-1.131 -0.783 0 7000 3 1.1171 1.0697 1.1644
-0.783 -0.522 0 7000 3 1.1929 1.1439 1.2418
-0.522 -0.000 0 7000 3 1.1653 1.1379 1.1926
0.000 0.522 0 7000 3 1.1653 1.1379 1.1926
0.522 0.783 0 7000 3 1.1929 1.1439 1.2418
0.783 1.131 0 7000 3 1.1171 1.0697 1.1644
1.131 1.305 0 7000 3 1.1287 1.0766 1.1807
1.305 1.740 0 7000 3 1.1276 1.0888 1.1665
1.740 1.930 0 7000 3 1.0957 1.0377 1.1536
1.930 2.043 0 7000 3 1.1194 1.0702 1.1685
2.043 2.322 0 7000 3 1.1889 1.0548 1.3231
2.322 2.500 0 7000 3 1.1850 1.1449 1.2251
2.500 2.650 0 7000 3 1.4596 1.3193 1.6000
2.65 2.853 0 10 3 1.03394 1 1.23394
2.65 2.853 10 20 3 1.04501 1 1.24501
2.65 2.853 20 30 3 1.06641 1 1.26641
2.65 2.853 30 40 3 1.09679 1 1.29679
2.65 2.853 40 50 3 1.13444 1 1.33444
2.65 2.853 50 60 3 1.17752 1 1.37752
2.65 2.853 60 70 3 1.22425 1.02425 1.42425
2.65 2.853 70 80 3 1.27305 1.07305 1.47305
2.65 2.853 80 90 3 1.3226 1.1226 1.5226
2.65 2.853 90 100 3 1.37183 1.17183 1.57183
2.65 2.853 100 110 3 1.41995 1.21995 1.61995
2.65 2.853 110 135 3 1.49766 1.29766 1.69766
2.65 2.853 135 160 3 1.59998 1.39998 1.79998
2.65 2.853 160 185 3 1.68698 1.48698 1.88698
2.65 2.853 185 210 3 1.75961 1.55961 1.95961
2.65 2.853 210 235 3 1.81975 1.61975 2.01975
2.65 2.853 235 260 3 1.86945 1.66945 2.06945
2.65 2.853 260 285 3 1.91061 1.71061 2.11061
2.65 2.853 285 310 3 1.94483 1.74483 2.14483
2.65 2.853 310 335 3 1.97343 1.77343 2.17343
2.65 2.853 335 360 3 1.99749 1.79749 2.19749
2.65 2.853 360 385 3 2.01784 1.81784 2.21784
2.65 2.853 385 410 3 2.03518 1.83518 2.23518
2.65 2.853 410 435 3 2.05003 1.85003 2.25003
2.65 2.853 435 460 3 2.06284 1.86284 2.26284
2.65 2.853 460 485 3 2.07394 1.87394 2.27394
2.65 2.853 485 7000 3 2.18079 1.98079 2.38079
2.853 2.964 0 7000 3 1.7414 1.5118 1.9709
2.964 3.139 0 7000 3 1.2764 1.2158 1.3370
3.139 5.191 0 7000 3 1.0986 0.9834 1.2137
