       eta        pt       EOY        UL      diff     ratio
  -2.87500  12.50000   0.00000   0.00000   0.00000   0.00000
  -2.87500  17.50000   0.00000   0.00633   0.00633   0.00000
  -2.87500  22.50000   0.00566   0.01375   0.00809   0.41142
  -2.87500  27.50000   0.00787   0.02586   0.01800   0.30412
  -2.87500  32.50000   0.00702   0.02632   0.01929   0.26680
  -2.87500  37.50000   0.00000   0.01639   0.01639   0.00006
  -2.87500  45.00000   0.03021   0.10667   0.07646   0.28323
  -2.87500  60.00000   0.14836   0.27350   0.12514   0.54245
  -2.87500  85.00000   0.40615   0.47547   0.06932   0.85421
  -2.87500 125.00000   0.68610   0.78075   0.09465   0.87877
  -2.87500 175.00000   0.78652   0.78947   0.00296   0.99625
  -2.87500 250.00000   0.91667   0.88000   0.03667   1.04167
  -2.87500 400.00000   1.00000   1.00000   0.00000   1.00000
  -2.62500  12.50000   0.00000   0.00701   0.00701   0.00000
  -2.62500  17.50000   0.00000   0.01020   0.01020   0.00000
  -2.62500  22.50000   0.00937   0.01250   0.00313   0.74951
  -2.62500  27.50000   0.00887   0.01375   0.00488   0.64495
  -2.62500  32.50000   0.01637   0.04094   0.02457   0.39981
  -2.62500  37.50000   0.04058   0.07921   0.03863   0.51232
  -2.62500  45.00000   0.05215   0.03175   0.02040   1.64264
  -2.62500  60.00000   0.11243   0.16243   0.05000   0.69217
  -2.62500  85.00000   0.28786   0.35832   0.07046   0.80335
  -2.62500 125.00000   0.48475   0.53978   0.05504   0.89803
  -2.62500 175.00000   0.64427   0.71023   0.06596   0.90713
  -2.62500 250.00000   0.72892   0.78070   0.05179   0.93367
  -2.62500 400.00000   0.75000   0.72727   0.02273   1.03125
  -2.37500  12.50000   0.00000   0.00923   0.00923   0.00000
  -2.37500  17.50000   0.00000   0.00928   0.00928   0.00000
  -2.37500  22.50000   0.01075   0.01471   0.00395   0.73118
  -2.37500  27.50000   0.02023   0.01932   0.00091   1.04697
  -2.37500  32.50000   0.01928   0.00000   0.01928  10.00000
  -2.37500  37.50000   0.02985   0.04615   0.01630   0.64677
  -2.37500  45.00000   0.06512   0.13333   0.06822   0.48837
