       eta        pt       EOY        UL      diff     ratio
  -2.87500  12.50000   0.00000   0.00000   0.00000      -nan
  -2.87500  17.50000   0.00000   0.00000   0.00000      -nan
  -2.87500  22.50000   0.00000   0.00000   0.00000      -nan
  -2.87500  27.50000   0.00000   0.00000   0.00000      -nan
  -2.87500  32.50000   0.00000   0.00574   0.00574   0.00017
  -2.87500  37.50000   0.00724   0.00000   0.00724  10.00000
  -2.87500  45.00000   0.00620   0.00653   0.00033   0.94891
  -2.87500  60.00000   0.00666   0.01114   0.00448   0.59806
  -2.87500  85.00000   0.04403   0.03687   0.00716   1.19418
  -2.87500 125.00000   0.22151   0.24561   0.02411   0.90184
  -2.87500 175.00000   0.45076   0.47297   0.02222   0.95303
  -2.87500 250.00000   0.59353   0.62007   0.02655   0.95719
  -2.87500 400.00000   0.81373   0.81081   0.00291   1.00359
  -2.62500  12.50000   0.00000   0.00000   0.00000      -nan
  -2.62500  17.50000   0.00000   0.00000   0.00000      -nan
  -2.62500  22.50000   0.00000   0.00000   0.00000      -nan
  -2.62500  27.50000   0.00000   0.00000   0.00000      -nan
  -2.62500  32.50000   0.00826   0.00523   0.00303   1.57964
  -2.62500  37.50000   0.00000   0.00965   0.00965   0.00010
  -2.62500  45.00000   0.00921   0.00547   0.00375   1.68516
  -2.62500  60.00000   0.01705   0.01243   0.00462   1.37171
  -2.62500  85.00000   0.05013   0.04230   0.00783   1.18504
  -2.62500 125.00000   0.15058   0.14761   0.00297   1.02012
  -2.62500 175.00000   0.30090   0.31954   0.01864   0.94167
  -2.62500 250.00000   0.44207   0.44966   0.00759   0.98312
  -2.62500 400.00000   0.61630   0.63492   0.01862   0.97068
  -2.37500  12.50000   0.00000   0.00000   0.00000      -nan
  -2.37500  17.50000   0.00000   0.00000   0.00000      -nan
  -2.37500  22.50000   0.00000   0.00000   0.00000      -nan
  -2.37500  27.50000   0.00000   0.00000   0.00000      -nan
  -2.37500  32.50000   0.00000   0.00646   0.00646   0.00015
  -2.37500  37.50000   0.00669   0.00517   0.00152   1.29431
  -2.37500  45.00000   0.01050   0.00504   0.00547   2.08508
  -2.37500  60.00000   0.01175   0.01053   0.00122   1.11619
