       eta        pt       EOY        UL      diff     ratio
  -2.87500  17.50000   0.00000   0.00000   0.00000      -nan
  -2.87500  22.50000   0.01333   0.02083   0.00750   0.64000
  -2.87500  27.50000   0.01863   0.12644   0.10780   0.14737
  -2.87500  32.50000   0.03226   0.25000   0.21774   0.12903
  -2.87500  37.50000   0.15534   0.38636   0.23102   0.40206
  -2.87500  45.00000   0.25568   0.47619   0.22051   0.53693
  -2.87500  60.00000   0.44140   0.53521   0.09381   0.82471
  -2.87500  85.00000   0.57500   0.67213   0.09713   0.85549
  -2.87500 150.00000   0.78967   0.85906   0.06939   0.91922
  -2.87500 350.00000   0.86792   0.86957   0.00164   0.99811
  -2.62500  17.50000   0.00000   0.00000   0.00000      -nan
  -2.62500  22.50000   0.01770   0.00690   0.01080   2.56637
  -2.62500  27.50000   0.03883   0.04167   0.00283   0.93204
  -2.62500  32.50000   0.04369   0.07222   0.02853   0.60493
  -2.62500  37.50000   0.05714   0.16393   0.10679   0.34857
  -2.62500  45.00000   0.14121   0.21918   0.07797   0.64427
  -2.62500  60.00000   0.27212   0.28070   0.00858   0.96944
  -2.62500  85.00000   0.43728   0.43548   0.00179   1.00412
  -2.62500 150.00000   0.55118   0.56028   0.00910   0.98375
  -2.62500 350.00000   0.70561   0.70714   0.00154   0.99783
  -2.37500  17.50000   0.00000   0.00000   0.00000      -nan
  -2.37500  22.50000   0.03982   0.05128   0.01146   0.77655
  -2.37500  27.50000   0.05936   0.07595   0.01659   0.78158
  -2.37500  32.50000   0.11278   0.10648   0.00630   1.05917
  -2.37500  37.50000   0.12422   0.14074   0.01652   0.88264
  -2.37500  45.00000   0.14157   0.15143   0.00986   0.93492
  -2.37500  60.00000   0.13988   0.12500   0.01488   1.11905
  -2.37500  85.00000   0.21795   0.19653   0.02142   1.10897
  -2.37500 150.00000   0.21221   0.18557   0.02664   1.14357
  -2.37500 350.00000   0.31298   0.29386   0.01912   1.06506
  -2.12500  17.50000   0.00000   0.00000   0.00000      -nan
  -2.12500  22.50000   0.00000   0.00610   0.00610   0.00016
  -2.12500  27.50000   0.03030   0.01130   0.01900   2.68182
  -2.12500  32.50000   0.02980   0.02643   0.00337   1.12748
  -2.12500  37.50000   0.02500   0.02535   0.00035   0.98611
  -2.12500  45.00000   0.03494   0.03295   0.00200   1.06059
  -2.12500  60.00000   0.01806   0.02454   0.00648   0.73589
  -2.12500  85.00000   0.03289   0.02101   0.01189   1.56579
  -2.12500 150.00000   0.03542   0.03351   0.00191   1.05705
  -2.12500 350.00000   0.04922   0.04819   0.00103   1.02137
   2.12500  17.50000   0.00000   0.00000   0.00000      -nan
   2.12500  22.50000   0.01020   0.01075   0.00055   0.94898
   2.12500  27.50000   0.02479   0.03352   0.00873   0.73967
   2.12500  32.50000   0.03550   0.02016   0.01534   1.76095
   2.12500  37.50000   0.05825   0.07289   0.01463   0.79922
   2.12500  45.00000   0.07120   0.06831   0.00289   1.04225
   2.12500  60.00000   0.07767   0.06032   0.01735   1.28769
   2.12500  85.00000   0.09764   0.09843   0.00078   0.99205
   2.12500 150.00000   0.10484   0.10074   0.00410   1.04072
   2.12500 350.00000   0.13449   0.13696   0.00247   0.98199
   2.37500  17.50000   0.00000   0.00000   0.00000      -nan
   2.37500  22.50000   0.03309   0.05921   0.02612   0.55882
   2.37500  27.50000   0.13216   0.12139   0.01077   1.08874
   2.37500  32.50000   0.22179   0.19289   0.02890   1.14981
   2.37500  37.50000   0.24918   0.25651   0.00733   0.97144
   2.37500  45.00000   0.27157   0.29514   0.02357   0.92016
   2.37500  60.00000   0.23901   0.23529   0.00372   1.01580
   2.37500  85.00000   0.32273   0.31746   0.00527   1.01659
   2.37500 150.00000   0.38338   0.35172   0.03165   1.09000
   2.37500 350.00000   0.50579   0.47104   0.03475   1.07377
   2.62500  17.50000   0.00000   0.00000   0.00000      -nan
   2.62500  22.50000   0.01521   0.06569   0.05048   0.23152
   2.62500  27.50000   0.05000   0.07383   0.02383   0.67727
   2.62500  32.50000   0.07853   0.14815   0.06961   0.53010
   2.62500  37.50000   0.07643   0.18000   0.10357   0.42463
   2.62500  45.00000   0.15599   0.28272   0.12673   0.55174
   2.62500  60.00000   0.31876   0.42793   0.10917   0.74489
   2.62500  85.00000   0.52727   0.52105   0.00622   1.01194
   2.62500 150.00000   0.69762   0.67596   0.02167   1.03205
   2.62500 350.00000   0.79649   0.80460   0.00811   0.98992
   2.87500  17.50000   0.00000   0.00000   0.00000      -nan
   2.87500  22.50000   0.01802   0.02703   0.00901   0.66667
   2.87500  27.50000   0.03185   0.10811   0.07626   0.29459
   2.87500  32.50000   0.04878   0.35632   0.30754   0.13690
   2.87500  37.50000   0.12821   0.34234   0.21414   0.37449
   2.87500  45.00000   0.24309   0.52055   0.27745   0.46700
   2.87500  60.00000   0.41755   0.55469   0.13713   0.75277
   2.87500  85.00000   0.60079   0.75962   0.15882   0.79091
   2.87500 150.00000   0.74460   0.74306   0.00155   1.00208
   2.87500 350.00000   0.76159   0.92593   0.16434   0.82252
